Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	AFD
25.10.2023	06.10.2023	19.10.2023	1010	34.0	17.0	13.0	5.0	3.0	19.0
21.09.2023	04.09.2023	15.09.2023	1030	30.0	18.0	14.0	7.0	5.0	19.0
23.08.2023	04.08.2023	16.08.2023	1026	29.0	19.0	14.0	7.0	5.0	19.0
27.07.2023	07.07.2023	19.07.2023	1011	29.0	19.0	16.0	7.0	4.0	18.0
29.06.2023	09.06.2023	22.06.2023	1039	31.0	19.0	15.0	8.0	4.0	17.0
18.05.2023	28.04.2023	10.05.2023	1001	32.0	18.0	16.0	8.0	5.0	15.0
26.04.2023	03.04.2023	18.04.2023	1007	31.0	20.0	15.0	7.5	5.0	16.0
23.03.2023	02.03.2023	15.03.2023	1101	31.0	21.0	16.0	6.5	4.5	15.0
15.02.2023	27.01.2023	09.02.2023	1088	30.0	22.5	16.0	7.5	4.0	14.0
26.01.2023	05.01.2023	18.01.2023	1023	31.0	21.0	17.0	6.0	4.5	14.0
21.12.2022	02.12.2022	15.12.2022	1035	30.0	22.0	18.0	7.5	4.5	12.0
24.11.2022	05.11.2022	17.11.2022	1042	29.5	20.0	20.0	7.0	4.0	14.0
20.10.2022	01.10.2022	13.10.2022	1021	30.5	19.0	19.0	7.0	5.0	14.0
16.09.2022	01.09.2022	14.09.2022	1030	30.0	20.0	19.0	7.0	5.5	13.0
24.08.2022	05.08.2022	08.08.2022	1038	29.0	19.5	21.0	8.0	5.0	12.0
27.07.2022	08.07.2022	21.07.2022	1006	27.5	22.0	22.0	7.0	5.0	11.0
22.06.2022	03.06.2022	17.06.2022	1046	27.0	23.0	22.0	8.0	4.5	10.0
27.05.2022	06.05.2022	18.05.2022	1118	29.0	24.0	20.5	8.0	4.5	9.0
13.04.2022	25.03.2022	06.04.2022	1075	24.0	28.0	17.0	9.0	6.0	9.0
24.03.2022	09.03.2022	21.03.2022	1041	25.0	25.0	17.0	10.5	5.0	10.0
24.02.2022	03.02.2022	16.02.2022	1033	27.0	25.0	15.0	10.5	6.0	10.0
26.01.2022	06.01.2022	20.01.2022	1090	23.0	27.5	14.5	12.5	5.5	10.0
22.12.2021	01.12.2021	15.12.2021	1069	24.0	26.0	15.0	13.0	5.0	10.5
18.11.2021	29.10.2021	11.11.2021	1016	23.0	27.0	15.0	14.0	5.5	9.5
20.10.2021	01.10.2021	14.10.2021	1045	21.0	28.0	15.0	14.0	5.0	9.5
24.09.2021	16.09.2021	23.09.2021	1554	25.0	26.0	16.0	10.5	5.0	10.0
08.09.2021	01.09.2021	07.09.2021	1258	25.0	27.0	15.5	9.5	6.0	11.0
28.08.2021	18.08.2021	26.08.2021	1038	26.0	24.0	17.0	10.5	6.0	10.5
19.08.2021	05.08.2021	17.08.2021	1018	27.5	19.5	17.5	11.0	7.5	11.0
28.07.2021	03.07.2021	22.07.2021	1243	30.0	16.0	19.5	12.0	7.0	9.5
20.07.2021	03.07.2021	14.07.2021	1028	31.5	16.5	18.0	12.0	6.5	9.5
16.06.2021	28.05.2021	09.06.2021	1070	29.5	17.0	21.5	11.0	7.0	9.0
19.05.2021	01.05.2021	13.05.2021	1027	27.5	16.0	24.0	10.0	6.5	10.0
21.04.2021	06.04.2021	15.04.2021	1051	28.0	16.5	23.0	10.0	7.5	9.5
