Date	Size	Institute	CDU	SPD	GRUENE	FDP	LINKE	AFD	SONSTIGE
29.07.2017	1921	Emnid	38	24	8	8	9	9	4
22.07.2017	2349	Emnid	38	25	8	8	9	8	4
15.07.2017	1263	Emnid	38	25	8	7	9	8	5
08.07.2017	1878	Emnid	38	25	8	8	9	7	5
01.07.2017	936	Emnid	39	24	8	8	9	7	5
24.06.2017	1363	Emnid	39	24	8	7	9	8	5
17.06.2017	2054	Emnid	39	25	7	7	9	8	5
10.06.2017	1398	Emnid	39	25	8	7	9	8	4
03.06.2017	1838	Emnid	38	27	7	7	8	8	5
27.05.2017	1703	Emnid	38	25	8	8	8	8	5
20.05.2017	2413	Emnid	38	26	7	7	9	8	5
13.05.2017	1837	Emnid	37	27	8	6	10	8	4
06.05.2017	1935	Emnid	36	28	7	6	9	9	5
29.04.2017	2439	Emnid	36	29	7	6	9	9	4
22.04.2017	1412	Emnid	36	31	6	5	9	9	4
15.04.2017	2436	Emnid	35	31	7	6	9	9	3
08.04.2017	1958	Emnid	35	33	7	5	8	9	3
01.04.2017	2416	Emnid	33	33	7	6	8	8	5
25.03.2017	2450	Emnid	33	33	8	5	8	9	4
18.03.2017	1832	Emnid	33	32	8	5	8	9	5
11.03.2017	1882	Emnid	33	33	7	6	8	8	5
04.03.2017	1403	Emnid	33	32	7	6	8	10	4
25.02.2017	1880	Emnid	32	32	7	7	8	9	5
18.02.2017	1885	Emnid	32	33	7	6	8	9	5
11.02.2017	1966	Emnid	33	32	7	6	8	10	4
04.02.2017	2233	Emnid	33	29	8	6	8	11	5
28.01.2017	1996	Emnid	37	23	10	6	10	11	3
21.01.2017	2805	Emnid	36	21	9	6	11	12	5
14.01.2017	1878	Emnid	37	21	10	6	10	12	4
07.01.2017	834	Emnid	38	22	10	5	9	12	4
24.12.2016	2326	Emnid	36	21	10	6	10	13	4
17.12.2016	2411	Emnid	36	22	11	5	10	12	4
10.12.2016	2426	Emnid	36	22	10	5	10	13	4
03.12.2016	2658	Emnid	37	22	11	5	10	12	3
26.11.2016	2426	Emnid	35	23	11	5	9	12	5
19.11.2016	2859	Emnid	33	24	12	5	9	13	4
12.11.2016	2782	Emnid	34	23	11	5	10	12	5
05.11.2016	1678	Emnid	34	22	11	5	10	12	6
29.10.2016	1840	Emnid	34	23	11	5	10	12	5
22.10.2016	1961	Emnid	33	23	11	5	10	13	5
15.10.2016	2827	Emnid	32	24	11	6	9	13	5
08.10.2016	1866	Emnid	32	23	12	6	10	12	5
01.10.2016	1939	Emnid	32	23	11	7	10	12	5
24.09.2016	2798	Emnid	32	23	11	6	9	14	5
17.09.2016	2780	Emnid	32	24	11	5	9	14	5
10.09.2016	2423	Emnid	33	23	11	6	9	13	5
03.09.2016	1966	Emnid	34	23	11	6	9	12	5
27.08.2016	1981	Emnid	34	22	12	5	10	11	6
20.08.2016	2358	Emnid	34	23	13	5	9	10	6
