Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	AFD
10.11.2023	07.11.2023	09.11.2023	1.234	30	16	15	5	4	21
20.10.2023	17.10.2023	19.10.2023	1.252	30	15	14	5	5	21
15.09.2023	12.09.2023	14.09.2023	1.201	26	17	16	6	5	21
18.08.2023	15.08.2023	17.08.2023	1.288	26	19	15	7	5	20
14.07.2023	11.07.2023	13.07.2023	1.346	27	17	16	7	4	20
30.06.2023	27.06.2023	29.06.2023	1.379	28	18	16	6	5	19
16.06.2023	13.06.2023	15.06.2023	1.224	28	19	16	6	5	18
26.05.2023	23.05.2023	25.05.2023	1.257	28	20	16	6	5	17
05.05.2023	02.05.2023	04.05.2023	1.225	30	19	17	6	5	15
21.04.2023	18.04.2023	20.04.2023	1.266	31	18	18	6	4	15
31.03.2023	28.03.2023	30.03.2023	1.379	30	19	17	7	5	15
17.03.2023	14.03.2023	16.03.2023	1.146	29	21	19	5	5	14
03.03.2023	28.02.2023	02.03.2023	1.165	29	21	18	5	5	15
17.02.2023	14.02.2023	16.02.2023	1.361	30	20	19	5	5	14
27.01.2023	24.01.2023	26.01.2023	1.345	27	21	19	6	6	15
13.01.2023	10.01.2023	12.01.2023	1.259	27	20	21	6	6	14
16.12.2022	12.12.2022	15.12.2022	1.365	28	20	20	6	5	15
25.11.2022	22.11.2022	24.11.2022	1.273	28	19	22	5	6	14
11.11.2022	08.11.2022	10.11.2022	1.310	28	19	22	5	5	15
21.10.2022	18.10.2022	20.10.2022	1.389	28	19	21	6	5	15
30.09.2022	27.09.2022	29.09.2022	1.355	27	18	22	7	5	14
09.09.2022	06.09.2022	08.09.2022	1.299	28	19	23	6	5	13
12.08.2022	09.08.2022	11.08.2022	1.389	26	19	26	7	4	12
15.07.2022	12.07.2022	14.07.2022	1.167	26	21	25	6	5	11
01.07.2022	28.06.2022	30.06.2022	1.186	27	21	25	6	5	10
17.06.2022	13.06.2022	15.06.2022	1.133	26	22	25	6	5	10
20.05.2022	17.05.2022	19.05.2022	1.162	26	22	24	7	4	10
29.04.2022	26.04.2022	28.04.2022	1.170	23	25	21	9	4	11
08.04.2022	05.04.2022	07.04.2022	1.230	24	27	19	8	4	11
11.03.2022	08.03.2022	10.03.2022	1.345	24	27	18	9	5	10
02.03.2022	21.02.2022	23.02.2022	1.103	24	26	17	9	6	11
11.02.2022	08.02.2022	10.02.2022	1.224	25	25	16	9	6	11
28.01.2022	25.01.2022	27.01.2022	1.249	23	24	18	10	7	10
14.01.2022	11.01.2022	13.01.2022	1.128	22	27	16	11	6	10
10.12.2021	07.12.2021	09.12.2021	1.303	21	28	17	12	5	10
26.11.2021	23.11.2021	25.11.2021	1.344	19	28	17	13	5	11
12.11.2021	09.11.2021	11.11.2021	1.257	20	28	16	13	5	11
29.10.2021	26.10.2021	28.10.2021	1.208	20	27	16	14	5	11
15.10.2021	12.10.2021	14.10.2021	1.329	19	28	17	13	5	11
01.10.2021	28.09.2021	30.09.2021	1.249	20	28	16	13	5	10
23.09.2021	22.09.2021	23.09.2021	1.273	23	25	16,5	11	6	10
17.09.2021	14.09.2021	16.09.2021	1.406	22	25	16	11	6	11
10.09.2021	07.09.2021	09.09.2021	1.281	22	25	17	11	6	11
03.09.2021	31.08.2021	02.09.2021	1301	22	25	17	11	7	11
27.08.2021	24.08.2021	26.08.2021	1300	22	22	20	10	6	11
13.08.2021	10.08.2021	12.08.2021	1252	26	19	19	11	7	11
30.07.2021	27.07.2021	29.07.2021	1268	28	16	21	10	7	11
16.07.2021	13.07.2021	15.07.2021	1224	30	15	20	10	7	10
25.06.2021	22.06.2021	24.06.2021	1271	29	14	22	10	7	10
10.06.2021	07.06.2021	09.06.2021	1232	28	15	22	10	7	11
21.05.2021	18.05.2021	20.05.2021	1229	24	14	25	11	7	11
07.05.2021	04.05.2021	06.05.2021	1271	25	14	26	10	7	11
16.04.2021	13.04.2021	15.04.2021	1292	31	14	21	9	7	11
26.03.2021	23.03.2021	25.03.2021	1030	28	15	23	9	7	12
26.02.2021	23.02.2021	25.02.2021	1202	35	16	19	7	7	10
28.01.2021	25.01.2021	27.01.2021	1371	37	15	20	6	7	9
15.01.2021	12.01.2021	14.01.2021	1262	37	15	20	5	8	10
10.12.2020	07.12.2020	09.12.2020	1246	37	16	20	5	8	10
27.11.2020	24.11.2020	26.11.2020	1330	37	16	21	5	7	9
13.11.2020	10.11.2020	12.11.2020	1347	37	16	20	5	7	9
23.10.2020	20.10.2020	22.10.2020	1297	38	15	20	5	8	9
09.10.2020	06.10.2020	08.10.2020	1229	37	16	20	5	7	10
17.09.2020	14.09.2020	16.09.2020	1241	37	17	19	5	7	10
28.08.2020	25.08.2020	27.08.2020	1303	38	16	19	5	8	9
31.07.2020	28.07.2020	30.07.2020	1249	38	14	21	5	8	9
10.07.2020	07.07.2020	09.07.2020	1226	39	15	20	5	7	9
26.06.2020	23.06.2020	25.06.2020	1227	40	15	19	5	7	9
12.06.2020	08.06.2020	10.06.2020	1270	39	15	20	4	7	9
29.05.2020	26.05.2020	28.05.2020	1377	39	15	19	4	8	9
15.05.2020	12.05.2020	14.05.2020	1282	38	15	18	5	8	10
24.04.2020	20.04.2020	23.04.2020	1323	39	16	18	5	7	9
09.04.2020	06.04.2020	08.04.2020	1175	35	17	20	5	7	10
27.03.2020	23.03.2020	26.03.2020	1473	33	15	22	6	8	10
06.03.2020	03.03.2020	05.03.2020	1276	26	16	23	6	8	14
07.02.2020	04.02.2020	06.02.2020	1067	27	14	22	6	10	14
16.01.2020	13.01.2020	15.01.2020	1282	27	14	23	7	9	14
13.12.2019	10.12.2019	12.12.2019	1366	27	13	23	8	9	14
29.11.2019	26.11.2019	28.11.2019	1340	27	13	23	7	10	14
08.11.2019	05.11.2019	07.11.2019	1264	27	14	22	7	10	14
18.10.2019	15.10.2019	17.10.2019	1226	29	14	24	6	8	13
27.09.2019	24.09.2019	26.09.2019	1325	27	13	27	6	7	14
05.09.2019	02.09.2019	04.09.2019	1270	28	15	24	6	7	13
09.08.2019	06.08.2019	08.08.2019	1307	28	13	25	7	7	13
19.07.2019	16.07.2019	18.07.2019	1290	28	13	25	8	8	12
21.06.2019	17.06.2019	19.06.2019	1291	27	14	26	7	7	13
06.06.2019	03.06.2019	05.06.2019	1297	27	13	26	7	7	13
10.05.2019	07.05.2019	09.05.2019	1357	30	16	20	7	8	14
12.04.2019	09.04.2019	11.04.2019	1282	28	17	20	8	9	13
