Date	Size	Institute	CDU	SPD	GRUENE	FDP	LINKE	AFD	SONSTIGE
02.08.2017	2501	Forsa	40	22	8	8	8	8	6
26.07.2017	2507	Forsa	40	22	8	8	9	7	6
19.07.2017	2502	Forsa	40	22	8	8	9	7	6
11.07.2017	2501	Forsa	39	22	8	8	9	8	6
05.07.2017	2503	Forsa	39	23	8	8	9	7	6
29.06.2017	1507	Forsa	40	23	9	8	9	7	4
28.06.2017	2502	Forsa	40	23	9	7	9	7	5
21.06.2017	2505	Forsa	39	23	8	8	10	7	5
13.06.2017	2004	Forsa	38	24	8	9	8	7	6
07.06.2017	2501	Forsa	39	24	8	8	8	7	6
31.05.2017	2001	Forsa	38	25	7	9	8	7	6
23.05.2017	2502	Forsa	39	25	7	9	8	7	5
17.05.2017	2506	Forsa	38	26	7	8	8	7	6
10.05.2017	2004	Forsa	36	29	7	7	8	7	6
03.05.2017	2502	Forsa	36	28	8	7	8	8	5
26.04.2017	2002	Forsa	36	30	7	6	8	9	4
19.04.2017	2007	Forsa	36	30	6	6	9	8	5
11.04.2017	2502	Forsa	36	30	7	6	8	8	5
04.04.2017	2504	Forsa	36	29	7	5	9	8	6
29.03.2017	2501	Forsa	34	32	7	6	8	7	6
22.03.2017	2504	Forsa	34	31	7	6	7	9	6
15.03.2017	2505	Forsa	33	32	7	6	7	9	6
08.03.2017	2502	Forsa	33	32	8	6	7	8	6
01.03.2017	2500	Forsa	33	31	8	7	7	9	5
22.02.2017	2502	Forsa	34	31	7	6	8	8	6
15.02.2017	2502	Forsa	34	31	7	5	8	9	6
08.02.2017	2501	Forsa	34	31	8	5	8	10	4
01.02.2017	2502	Forsa	35	26	8	6	9	11	5
25.01.2017	2504	Forsa	37	21	10	6	9	12	5
18.01.2017	2503	Forsa	38	21	9	6	9	11	6
11.01.2017	2501	Forsa	37	20	10	6	9	12	6
04.01.2017	2001	Forsa	37	21	10	6	9	12	5
28.12.2016	2504	Forsa	38	20	10	5	9	12	6
20.12.2016	2502	Forsa	36	22	10	6	9	11	6
14.12.2016	2506	Forsa	37	21	10	6	9	11	6
07.12.2016	2501	Forsa	36	22	11	6	10	10	5
30.11.2016	2503	Forsa	37	22	10	5	9	11	6
23.11.2016	2505	Forsa	36	23	10	5	10	10	6
16.11.2016	2503	Forsa	35	23	11	6	10	10	5
09.11.2016	2503	Forsa	34	23	11	6	10	11	5
02.11.2016	2503	Forsa	34	22	11	7	10	11	5
26.10.2016	2504	Forsa	35	22	11	6	9	12	5
19.10.2016	2505	Forsa	34	22	11	6	9	12	6
12.10.2016	2004	Forsa	34	22	11	6	10	12	5
05.10.2016	2503	Forsa	33	22	11	6	10	13	5
28.09.2016	2506	Forsa	33	23	10	6	9	14	5
21.09.2016	2504	Forsa	33	23	11	6	8	13	6
