Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	AFD
19.09.2023	13.09.2023	18.09.2023	1002	27	16	15	6	4	23
09.08.2023	02.08.2023	09.08.2023	1004	27	17	14	7	4	21
04.07.2023	28.06.2023	03.07.2023	1005	28	17	14	7	4	20
06.06.2023	31.05.2023	05.06.2023	1001	29	18	15	7	4	19
04.04.2023	29.03.2023	03.04.2023	1007	31	19	17	6	4	15
21.02.2023	15.02.2023	20.02.2023	1004	29	19	17	7	5	15
04.01.2023	28.12.2023	03.01.2023	1002	29	19	17	7	5	14
02.12.2022	28.11.2022	01.12.2022	1005	28	18	21	7	4	12
26.10.2022	19.10.2022	25.10.2022	1002	28	18	20	6	4	15
21.09.2022	14.09.2022	20.09.2022	1003	28	18	21	7	4	13
27.07.2022	20.07.2022	25.07.2022	1005	27	18	23	9	5	10
21.06.2022	15.06.2022	20.06.2022	1003	29	21	21	8	4	8
31.05.2022	25.05.2022	30.05.2022	1005	30	22	20	8	4	7
26.04.2022	20.04.2022	25.04.2022	1003	26	26	18	8	4	9
01.03.2022	23.02.2022	26.02.2022	1005	27	24	15	10	6	9
04.01.2022	29.12.2022	03.01.2022	1003	24	26	16	12	4	11
05.11.2021	01.11.2021	04.11.2021	1005	21	26	16	15	4	10
14.09.2021	08.09.2021	13.09.2021	1003	23	25	16	13	6	11
07.09.2021	01.09.2021	06.09.2021	1004	23	25	17	12	6	11
27.07.2021	21.07.2021	27.07.2021	1003	30	15	18	12	7	10
21.06.2021	16.06.2021	21.06.2021	1002	28	16	20	12	8	10
17.05.2021	11.05.2021	17.05.2021	1005	26	15	24	11	7	11
29.03.2021	24.03.2021	29.03.2021	1003	26	16	21	11	8	11
15.02.2021	10.02.2021	15.02.2021	1005	37	17	18	7	7	9
04.01.2021	29.12.2021	04.01.2021	1004	37	16	18	6	8	9
09.11.2020	04.11.2020	09.11.2020	1007	37	15	19	5	7	10
13.10.2020	07.10.2020	12.10.2020	1005	36	16	20	5	7	10
27.07.2020	22.07.2020	27.07.2020	1003	38	14	19	6	6	10
15.06.2020	09.06.2020	15.06.2020	1002	39	15	17	6	8	9
27.04.2020	20.04.2020	27.04.2020	1002	38	16	16	6	8	10
03.01.2020	27.12.2020	02.01.2020	1005	28	13	21	9	8	14
03.12.2019	27.11.2019	02.12.2019	1004	27	14	21	9	8	15
08.10.2019	01.10.2019	07.10.2019	1002	27	14	22	8	7	15
13.09.2019	06.09.2019	12.09.2019	1005	27	16	23	7	8	12
23.07.2019	17.07.2019	22.06.2019	1002	28	13	25	8	8	12
25.06.2019	18.06.2019	24.06.2019	1004	26	13	26	8	8	13
09.05.2019	02.05.2019	08.05.2019	1006	29	17	19	8	9	13
04.04.2019	28.03.2019	03.04.2019	1003	30	15	18	10	9	13
28.02.2019	21.02.2019	27.02.2019	1005	31	16	18	9	9	14
24.01.2019	16.01.2019	23.01.2019	1003	31	14	19	10	9	13
13.12.2018	06.12.2018	12.12.2018	1005	30	14	19	9	9	15
11.10.2018	04.10.2018	10.10.2018	1007	27	15	16	10	10	18
27.09.2018	20.09.2018	26.09.2018	1005	27	16	15	9	10	18
11.09.2018	04.09.2018	10.09.2018	1003	29	17	14	9	9	16
01.08.2018	25.07.2018	31.07.2018	1005	30	17	13	10	10	16
12.07.2018	05.07.2018	11.07.2018	1006	30	17	12	9	10	17
17.05.2018	11.05.2018	16.05.2018	1003	34	16	12	9	10	14
27.04.2018	20.04.2018	26.04.2018	1005	33	17	12	9	11	13
22.03.2018	16.03.2018	21.03.2018	1003	33	18	11	10	10	13
08.02.2018	01.02.2018	07.02.2018	1007	32	18	13	9	9	14
