Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
15.04.2021	13.04.2021	14.04.2021	1174	28	15	21	11	7	11	7
01.04.2021	29.03.2021	30.03.2021	1348	27	16	22	9	7	11	8
18.03.2021	15.03.2021	17.03.2021	1207	29	17	20	9	7	11	7
04.03.2021	01.03.2021	02.03.2021	1296	33	16	20	7	7	11	6
18.02.2021	15.02.2021	17.02.2021	1025	33	16	20	8	6	11	6
04.02.2021	01.02.2021	03.02.2021	1503	34	15	21	8	6	10	6
21.01.2021	18.01.2021	20.01.2021	1027	34	15	21	7	6	10	7
07.01.2021	04.01.2021	06.01.2021	1520	35	14	21	7	7	10	6
10.12.2020	07.12.2020	09.12.2020	1004	36	16	20	6	7	9	6
03.12.2020	30.11.2020	02.12.2020	1507	36	15	21	6	7	10	5
26.11.2020	24.11.2020	25.11.2020	1047	35	15	21	7	7	11	4
12.11.2020	09.11.2020	11.11.2020	1504	36	15	20	6	7	10	6
15.10.2020	12.10.2020	14.10.2020	1038	35	15	20	6	7	11	6
01.10.2020	28.09.2020	30.09.2020	1501	35	15	21	6	8	10	5
17.09.2020	15.09.2020	16.09.2020	1051	36	16	20	5	8	10	5
03.09.2020	31.08.2020	02.09.2020	1527	36	17	19	6	7	10	5
20.08.2020	18.08.2020	19.08.2020	1065	37	16	17	6	8	10	6
06.08.2020	03.08.2020	05.08.2020	1511	38	15	18	6	7	11	5
23.07.2020	21.07.2020	22.07.2020	1064	37	14	20	5	7	11	6
02.07.2020	29.06.2020	01.07.2020	1503	37	16	20	5	7	10	5
25.06.2020	23.06.2020	24.06.2020	1068	37	16	20	5	7	10	5
04.06.2020	02.06.2020	03.06.2020	1505	38	15	19	6	8	9	5
14.05.2020	12.05.2020	13.05.2020	1074	38	15	18	6	7	10	6
07.05.2020	04.05.2020	06.05.2020	1503	39	16	18	5	8	9	5
16.04.2020	14.04.2020	15.04.2020	1057	38	17	19	5	7	9	5
02.04.2020	30.03.2020	01.04.2020	1502	34	16	22	5	7	10	6
19.03.2020	17.03.2020	18.03.2020	1035	30	14	23	7	9	10	7
05.03.2020	02.03.2020	04.03.2020	1502	27	16	23	6	9	12	7
13.02.2020	11.02.2020	13.02.2020	1007	26	16	22	7	9	14	6
06.02.2020	03.02.2020	05.02.2020	1503	27	14	22	8	9	14	6
23.01.2020	21.01.2020	22.01.2020	1043	26	14	24	8	8	14	6
09.01.2020	07.01.2020	08.01.2020	1506	27	13	23	9	8	14	6
12.12.2019	10.12.2019	11.12.2019	1038	27	14	21	8	8	15	7
05.12.2019	02.12.2019	04.12.2019	1507	25	13	23	9	8	15	7
14.11.2019	12.11.2019	13.11.2019	1046	25	15	22	7	9	14	8
07.11.2019	04.11.2019	06.11.2019	1507	26	14	22	8	9	14	7
17.10.2019	14.10.2019	16.10.2019	1062	28	14	22	7	8	14	7
10.10.2019	07.10.2019	09.10.2019	1504	28	13	24	7	8	14	6
19.09.2019	17.09.2019	18.09.2019	1067	27	14	23	8	8	14	6
05.09.2019	03.09.2019	04.09.2019	1514	27	14	23	7	7	15	7
22.08.2019	20.08.2019	21.08.2019	1063	26	14	25	7	7	14	7
01.08.2019	29.07.2019	31.07.2019	1503	26	12	26	8	7	14	7
25.07.2019	22.07.2019	24.07.2019	1046	26	13	26	9	8	12	6
04.07.2019	01.07.2019	03.07.2019	1506	25	13	26	8	8	13	7
27.06.2019	24.06.2019	26.06.2019	1051	26	13	25	9	7	12	8
06.06.2019	03.06.2019	05.06.2019	1500	25	12	26	8	7	13	9
02.05.2019	29.04.2019	30.04.2019	1505	28	18	20	8	9	12	5
17.04.2019	15.04.2019	16.04.2019	1051	29	16	21	8	8	13	5
04.04.2019	01.04.2019	03.04.2019	1503	29	17	20	9	8	12	5
21.03.2019	19.03.2019	20.03.2019	1041	29	18	19	9	8	12	5
14.03.2019	11.03.2019	13.03.2019	1508	29	17	19	8	9	13	5
21.02.2019	19.02.2019	20.02.2019	1029	30	18	18	8	8	12	6
14.02.2019	11.02.2019	13.02.2019	1503	29	17	19	9	8	13	5
24.01.2019	22.01.2019	23.01.2019	1051	28	15	20	9	8	15	5
10.01.2019	07.01.2019	09.01.2019	1505	29	15	20	9	9	14	4
13.12.2018	11.12.2018	12.12.2018	1048	31	15	20	8	8	13	5
06.12.2018	03.12.2018	05.12.2018	1502	30	14	20	8	8	14	6
29.11.2018	27.11.2018	28.11.2018	1052	28	14	21	9	8	15	5
15.11.2018	12.11.2018	14.11.2018	1506	26	14	23	8	9	14	6
18.10.2018	16.10.2018	17.10.2018	1040	25	14	19	11	9	16	6
11.10.2018	08.10.2018	10.10.2018	1508	26	15	17	10	10	16	6
20.09.2018	17.09.2018	19.09.2018	1035	28	17	15	9	10	18	3
06.09.2018	03.09.2018	05.09.2018	1502	29	18	14	8	10	16	5
23.08.2018	20.08.2018	22.08.2018	1047	29	18	14	8	9	17	5
02.08.2018	30.07.2018	01.08.2018	1508	29	18	15	7	9	17	5
26.07.2018	24.07.2018	25.07.2018	1047	30	18	15	8	8	16	5
05.07.2018	03.07.2018	04.07.2018	1505	30	18	14	8	9	16	5
27.06.2018	25.06.2018	26.06.2018	1025	32	19	13	8	9	14	5
14.06.2018	11.06.2018	13.06.2018	1506	31	18	13	8	10	15	5
17.05.2018	14.05.2018	16.05.2018	1009	33	17	13	8	10	14	5
09.05.2018	07.05.2018	08.05.2018	1507	32	18	13	8	9	15	5
19.04.2018	16.04.2018	18.04.2018	1039	32	17	12	10	10	15	4
05.04.2018	03.04.2018	04.04.2018	1503	33	18	12	9	10	14	4
22.03.2018	20.03.2018	21.03.2018	1038	33	19	12	9	10	13	4
01.03.2018	26.02.2018	28.02.2018	1502	34	18	11	9	9	15	4
22.02.2018	20.02.2018	21.02.2018	1052	34	17	12	9	10	14	4
15.02.2018	13.02.2018	15.02.2018	1001	33	16	13	9	11	15	3
01.02.2018	29.01.2018	31.01.2018	1502	33	18	11	10	11	14	3
25.01.2018	22.01.2018	24.01.2018	1043	33	19	11	10	10	12	5
04.01.2018	02.01.2018	03.01.2018	1506	33	21	11	9	9	13	4
14.12.2017	11.12.2017	13.12.2017	1029	32	20	12	9	9	13	5
07.12.2017	04.12.2017	06.12.2017	1504	32	21	11	9	10	13	4
20.11.2017	20.11.2017	20.11.2017	1011	32	22	11	10	10	11	4
16.11.2017	10.11.2017	15.11.2017	1382	31	21	11	11	10	12	4
09.11.2017	06.11.2017	08.11.2017	1505	30	21	11	12	9	13	4
20.10.2017	16.10.2017	18.10.2017	1026	31	21	11	12	9	12	4
12.10.2017	09.10.2017	11.10.2017	1506	32	20	10	11	10	11	6
14.09.2017	12.09.2017	13.09.2017	1503	37	20	7.5	9.5	9	12	5
07.09.2017	04.09.2017	06.09.2017	1503	37	21	8	9	10	11	4
31.08.2017	28.08.2017	30.08.2017	1411	37	23	8	8	9	11	4
24.08.2017	22.08.2017	23.08.2017	1035	38	22	8	9	9	10	4
09.08.2017	04.08.2017	08.08.2017	1505	39	24	8	8	9	8	4
27.07.2017	25.07.2017	26.07.2017	1004	40	23	8	8	8	9	4
06.07.2017	03.07.2017	05.07.2017	1500	39	23	8	9	9	9	3
15.06.2017	12.06.2017	13.06.2017	1018	39	24	7	9	8	8	5
08.06.2017	06.06.2017	07.06.2017	1503	38	24	7	10	8	9	4
18.05.2017	16.05.2017	17.05.2017	1017	38	26	8	9	6	9	4
11.05.2017	08.05.2017	10.05.2017	1500	37	27	8	8	7	10	3
20.04.2017	18.04.2017	19.04.2017	934	35	30	7	6	8	10	4	
13.04.2017	10.04.2017	12.04.2017	1502	34	31	8	6	7	11	3
23.03.2017	20.03.2017	22.03.2017	1023	32	32	8	6	7	11	4
09.03.2017	06.03.2017	08.03.2017	1502	32	31	8	6	8	11	4
23.02.2017	20.02.2017	22.02.2017	1047	31	32	8	6	7	11	5
02.02.2017	30.01.2017	01.02.2017	1506	34	28	8	6	8	12	4
27.01.2017	24.01.2017	25.01.2017	1029	35	23	9	6	8	14	5
05.01.2017	02.01.2017	04.01.2017	1505	37	20	9	5	9	15	5
16.12.2016	12.12.2016	14.12.2016	1005	36	21	10	6	9	13	5
08.12.2016	05.12.2016	07.12.2016	1504	35	22	11	5	9	13	5
