Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	PIRATEN	FW	AFD	SONSTIGE
26.04.2021	23.04.2021	26.04.2021	2082	23	16	23	12	8	n/a	n/a	12	6
23.04.2021	23.04.2021	23.04.2021	1000	24	17	23	12	8	n/a	n/a	11	5
20.04.2021	20.04.2021	20.04.2021	1000	27	16	22	11	7	n/a	n/a	12	5
20.04.2021	16.04.2021	19.04.2021	3057	28	16	21	11	7	n/a	n/a	12	5
16.04.2021	15.04.2021	15.04.2021	1007	28	18	20	10	8	n/a	n/a	12	4
12.04.2021	09.04.2021	12.04.2021	3174	27.5	17	20.5	10	7	n/a	n/a	12	6
05.04.2021	30.03.2021	01.04.2021	3020	27	17	21	10	7	n/a	n/a	12	6
29.03.2021	26.03.2021	29.03.2021	3049	26	18	21	10.5	7	n/a	n/a	11	6.5
22.03.2021	19.03.2021	22.03.2021	3104	28	18	20	10.5	7	n/a	n/a	11	5.5
20.03.2021	19.03.2021	19.03.2021	1042	28	18	20	10	8	n/a	n/a	11	5
15.03.2021	12.03.2021	15.03.2021	2068	29.5	17	17	10.5	8	n/a	n/a	11.5	6.5
08.03.2021	05.03.2021	08.03.2021	2049	30	17	17	10.5	9	n/a	n/a	11.5	5
02.03.2021	26.02.2021	01.03.2021	2032	32.5	17	17	10	8	n/a	n/a	11	4.5
23.02.2021	19.02.2021	22.02.2021	2075	33.5	16	17	9	8	n/a	n/a	11	5.5
15.02.2021	12.02.2021	15.02.2021	2051	33.5	17	17	9	9	n/a	n/a	10.5	4
08.02.2021	05.02.2021	08.02.2021	2107	34.5	16	17.5	9	8.5	n/a	n/a	10.5	4
02.02.2021	29.01.2021	01.02.2021	2044	36.5	15	17	8	7.5	n/a	n/a	11	5
26.01.2021	22.01.2021	25.01.2021	2038	35	16	17	8	8	n/a	n/a	10	6
18.01.2021	17.01.2021	18.01.2021	1835	35	15	17	9	8	n/a	n/a	11	5
12.01.2021	08.01.2021	11.01.2021	2042	36	15	18	7.5	8	n/a	n/a	10	5.5
05.01.2021	01.01.2021	04.01.2021	2072	36	15	18	7.5	7.5	n/a	n/a	11	5
05.01.2021	01.01.2021	04.01.2021	2072	36	15	18	7.5	7.5	n/a	n/a	11	5
22.12.2020	18.12.2020	21.12.2020	2055	35	16	16.5	8	7.5	n/a	n/a	11	6
15.12.2020	11.12.2020	14.12.2020	2002	36	17	17	7	7.5	n/a	n/a	10	5.5
08.12.2020	04.12.2020	07.12.2020	2057	35.5	15.5	17.5	8	7.5	n/a	n/a	10	6
30.11.2020	27.11.2020	30.11.2020	2046	35.5	15.5	17.5	7.5	7	n/a	n/a	11	6
24.11.2020	20.11.2020	23.11.2020	2063	36	15.5	17.5	7	7	n/a	n/a	11	6
17.11.2020	13.11.2020	16.11.2020	2077	36.5	15.5	17.5	7	7.5	n/a	n/a	11	5
10.11.2020	06.11.2020	09.11.2020	2030	34.5	15.5	17.5	7	7.5	n/a	n/a	12	6
03.11.2020	30.10.2020	02.11.2020	2035	34.5	15.5	18	6.5	8.5	n/a	n/a	11	6
